s,S,componente,sim_media,sim_ic95,referencia_law
20,40,c_total,124.8368,4.2517,126.6100
20,40,c_orden,97.2650,2.9860,99.2600
20,40,c_mant,9.0600,0.6002,9.2500
20,40,c_falt,18.5118,2.2699,18.1000
20,60,c_total,120.6608,2.5020,122.7400
20,60,c_orden,89.8925,1.8815,90.5200
20,60,c_mant,17.1116,0.4933,17.3900
20,60,c_falt,13.6568,1.5041,14.8300
20,80,c_total,122.1354,2.3722,123.8600
20,80,c_orden,85.6825,1.8128,87.3600
20,80,c_mant,26.4054,0.5214,26.2400
20,80,c_falt,10.0475,1.1966,10.2600
20,100,c_total,128.0746,3.9250,125.3200
20,100,c_orden,83.6900,3.3169,81.3700
20,100,c_mant,36.4409,1.0676,36.0000
20,100,c_falt,7.9437,1.7474,7.9500
40,60,c_total,125.3160,2.0798,126.3700
40,60,c_orden,97.5342,2.4127,98.4300
40,60,c_mant,25.7397,0.8075,25.9900
40,60,c_falt,2.0422,0.4457,1.9500
40,80,c_total,125.4015,1.6084,125.4600
40,80,c_orden,89.4200,1.6414,88.4000
40,80,c_mant,34.7369,0.5371,35.9200
40,80,c_falt,1.2446,0.2398,1.1400
40,100,c_total,131.1095,1.6626,132.3400
40,100,c_orden,85.1242,1.7189,84.6200
40,100,c_mant,44.9352,0.6513,46.4200
40,100,c_falt,1.0501,0.3225,1.3000
60,80,c_total,143.7774,1.3047,150.0200
60,80,c_orden,98.5308,1.8630,105.6900
60,80,c_mant,45.1357,0.7596,44.0200
60,80,c_falt,0.1109,0.0911,0.3100
60,100,c_total,144.2475,1.5572,143.2000
60,100,c_orden,89.7592,1.9059,89.0500
60,100,c_mant,54.4348,0.6440,53.9100
60,100,c_falt,0.0535,0.0592,0.2400
